PK;Season;Team;Position;Points;Round;Qty_match_home_T6;Qty_match_away_T6;Qty_match_home_T7_T14;Qty_match_away_T7_T14;Qty_match_home_L6;Qty_match_away_L6;FLG_Sucess_Champ;FLG_Sucess_Libert;FLG_Sucess_Z4
Corinthians2017;2017;Corinthians;1;59;31;1;0;2;2;1;1;1;1;0
Palmeiras2017;2017;Palmeiras;2;54;31;1;1;1;1;1;2;0;1;0
Santos2017;2017;Santos;3;53;31;1;0;2;3;1;0;0;1;0
Gremio2017;2017;Gremio;4;51;31;0;1;2;1;2;1;0;1;0
Cruzeiro2017;2017;Cruzeiro;5;48;31;0;1;3;1;1;1;0;1;0
Botafogo2017;2017;Botafogo;6;48;31;1;1;2;1;1;1;0;0;0
Flamengo2017;2017;Flamengo;7;47;31;3;2;0;0;0;2;0;1;0
Vasco2017;2017;Vasco;8;44;31;0;2;2;1;2;0;0;0;0
Atletico-PR2017;2017;Atletico-PR;9;42;31;2;2;1;0;0;2;0;0;0
Atletico-MG2017;2017;Atletico-MG;10;42;31;1;2;0;2;2;0;0;0;0
São Paulo2017;2017;São Paulo;11;40;31;1;1;2;1;0;2;0;0;0
Chapecoense2017;2017;Chapecoense;12;39;31;1;0;0;2;3;1;0;0;0
Bahia2017;2017;Bahia;13;39;31;1;0;2;1;1;2;0;0;0
Fluminense2017;2017;Fluminense;14;39;31;0;3;0;0;3;1;0;0;0
Sport2017;2017;Sport;15;35;31;2;1;1;2;0;1;0;0;0
Coritiba2017;2017;Coritiba;16;35;31;0;0;2;3;2;0;0;0;1
Ponte Preta2017;2017;Ponte Preta;17;35;31;1;0;1;3;1;1;0;0;1
Avai2017;2017;Avai;18;35;31;1;3;2;0;0;1;0;0;1
Vitoria2017;2017;Vitoria;19;34;31;2;1;1;2;0;1;0;0;0
Atletico-GO2017;2017;Atletico-GO;20;27;31;0;2;3;1;1;0;0;0;1
Fluminense2012;2012;Fluminense;1;69;31;1;3;1;0;0;2;1;1;0
Atletico-MG2012;2012;Atletico-MG;2;60;31;1;1;1;3;1;0;0;1;0
Gremio2012;2012;Gremio;3;58;31;2;0;3;1;0;1;0;1;0
São Paulo2012;2012;São Paulo;4;55;31;2;1;2;1;0;1;0;1;0
Vasco2012;2012;Vasco;5;50;31;2;1;0;1;3;0;0;1;0
Internacional2012;2012;Internacional;6;45;31;0;2;2;3;0;0;0;0;0
Botafogo2012;2012;Botafogo;7;44;31;1;0;1;0;0;5;0;0;0
Cruzeiro2012;2012;Cruzeiro;8;43;31;0;2;3;0;1;1;0;0;0
Corinthians2012;2012;Corinthians;9;43;31;0;2;2;0;1;2;0;1;0
Santos2012;2012;Santos;10;42;31;0;0;0;4;2;1;0;0;0
Coritiba2012;2012;Coritiba;11;41;31;3;1;0;2;1;0;0;0;0
Nautico2012;2012;Nautico;12;40;31;2;1;1;0;2;1;0;0;0
Portuguesa2012;2012;Portuguesa;13;38;31;1;1;1;2;2;0;0;0;0
Ponte Preta2012;2012;Ponte Preta;14;37;31;2;2;1;1;0;1;0;0;0
Flamengo2012;2012;Flamengo;15;37;31;1;1;1;1;3;0;0;0;0
Bahia2012;2012;Bahia;16;35;31;0;0;2;4;0;1;0;0;0
Sport2012;2012;Sport;17;30;31;1;2;1;1;0;2;0;0;1
Palmeiras2012;2012;Palmeiras;18;29;31;1;0;3;1;1;1;0;0;1
Figueirense2012;2012;Figueirense;19;28;31;1;0;1;2;1;2;0;0;1
Atletico-GO2012;2012;Atletico-GO;20;23;31;0;1;3;0;2;1;0;0;1
Palmeiras2016;2016;Palmeiras;1;64;31;1;2;2;0;1;1;1;1;0
Flamengo2016;2016;Flamengo;2;60;31;2;2;1;0;1;1;0;1;0
Atletico-MG2016;2016;Atletico-MG;3;56;31;2;0;1;1;1;2;0;1;0
Santos2016;2016;Santos;4;55;31;1;1;0;3;2;0;0;1;0
Botafogo2016;2016;Botafogo;5;50;31;0;2;2;1;1;1;0;1;0
Atletico-PR2016;2016;Atletico-PR;6;48;31;1;0;2;2;0;2;0;1;0
Corinthians2016;2016;Corinthians;7;48;31;1;1;1;2;1;1;0;0;0
Gremio2016;2016;Gremio;8;47;31;1;0;1;1;2;2;0;0;0
Fluminense2016;2016;Fluminense;9;46;31;1;0;0;2;2;2;0;0;0
Ponte Preta2016;2016;Ponte Preta;10;45;31;1;1;1;2;1;1;0;0;0
Chapecoense2016;2016;Chapecoense;11;42;31;2;2;1;1;1;0;0;0;0
São Paulo2016;2016;São Paulo;12;39;31;0;1;3;1;1;1;0;0;0
Cruzeiro2016;2016;Cruzeiro;13;38;31;1;1;2;1;0;2;0;0;0
Sport2016;2016;Sport;14;37;31;0;2;2;1;1;1;0;0;0
Coritiba2016;2016;Coritiba;15;37;31;1;2;1;1;2;0;0;0;0
Internacional2016;2016;Internacional;16;36;31;0;1;2;3;1;0;0;0;1
Vitoria2016;2016;Vitoria;17;35;31;2;1;1;1;1;1;0;0;0
Figueirense2016;2016;Figueirense;18;32;31;0;1;3;2;0;1;0;0;1
Santa Cruz2016;2016;Santa Cruz;19;23;31;2;0;1;1;1;2;0;0;1
America-MG2016;2016;America-MG;20;21;31;2;1;2;1;0;1;0;0;1
Corinthians2015;2015;Corinthians;1;67;31;1;1;1;1;2;1;1;1;0
Atletico-MG2015;2015;Atletico-MG;2;59;31;1;2;2;0;1;1;0;1;0
Gremio2015;2015;Gremio;3;55;31;1;0;2;2;0;2;0;1;0
Santos2015;2015;Santos;4;49;31;1;0;2;0;0;4;0;0;0
Palmeiras2015;2015;Palmeiras;5;48;31;0;1;2;2;2;0;0;0;0
São Paulo2015;2015;São Paulo;6;47;31;1;1;1;1;1;2;0;1;0
Internacional2015;2015;Internacional;7;47;31;1;0;2;2;1;1;0;1;0
Ponte Preta2015;2015;Ponte Preta;8;47;31;0;1;1;2;2;1;0;0;0
Sport2015;2015;Sport;9;46;31;2;2;1;2;0;0;0;1;0
Flamengo2015;2015;Flamengo;10;44;31;1;3;1;1;1;0;0;0;0
Cruzeiro2015;2015;Cruzeiro;11;41;31;1;1;1;1;1;2;0;0;0
Fluminense2015;2015;Fluminense;12;40;31;0;1;3;0;1;2;0;0;0
Atletico-PR2015;2015;Atletico-PR;13;39;31;1;1;1;3;1;0;0;0;0
Chapecoense2015;2015;Chapecoense;14;38;31;0;1;2;1;2;1;0;0;0
Figueirense2015;2015;Figueirense;15;34;31;2;1;2;1;0;1;0;0;0
Avai2015;2015;Avai;16;33;31;0;1;2;3;1;0;0;0;1
Coritiba2015;2015;Coritiba;17;33;31;2;2;0;0;2;1;0;0;0
Goias2015;2015;Goias;18;31;31;1;1;2;2;1;0;0;0;1
Joinville2015;2015;Joinville;19;30;31;2;0;0;3;1;1;0;0;1
Vasco2015;2015;Vasco;20;29;31;3;1;1;0;0;2;0;0;1
Cruzeiro2014;2014;Cruzeiro;1;61;31;1;0;1;2;2;1;1;1;0
São Paulo2014;2014;São Paulo;2;56;31;1;0;2;2;0;2;0;1;0
Atletico-MG2014;2014;Atletico-MG;3;54;31;0;1;2;2;1;1;0;1;0
Internacional2014;2014;Internacional;4;53;31;1;1;2;3;0;0;0;1;0
Corinthians2014;2014;Corinthians;5;53;31;0;1;2;1;2;1;0;1;0
Fluminense2014;2014;Fluminense;6;51;31;1;1;0;2;2;1;0;1;0
Gremio2014;2014;Gremio;7;51;31;2;1;1;0;1;2;0;0;0
Santos2014;2014;Santos;8;46;31;3;1;0;1;1;1;0;0;0
Goias2014;2014;Goias;9;41;31;2;2;0;1;2;0;0;0;0
Atletico-PR2014;2014;Atletico-PR;10;40;31;1;0;3;1;0;2;0;0;0
Flamengo2014;2014;Flamengo;11;40;31;0;1;0;2;4;0;0;0;0
Sport2014;2014;Sport;12;37;31;2;0;2;2;0;1;0;0;0
Figueirense2014;2014;Figueirense;13;36;31;1;2;0;1;2;1;0;0;0
Palmeiras2014;2014;Palmeiras;14;36;31;1;2;2;0;0;2;0;0;0
Chapecoense2014;2014;Chapecoense;15;36;31;1;1;0;3;2;0;0;0;0
Vitoria2014;2014;Vitoria;16;34;31;1;0;1;3;1;1;0;0;1
Botafogo2014;2014;Botafogo;17;33;31;1;2;2;1;0;1;0;0;1
Coritiba2014;2014;Coritiba;18;33;31;1;2;1;1;1;1;0;0;0
Bahia2014;2014;Bahia;19;31;31;1;0;3;1;0;2;0;0;1
Criciuma2014;2014;Criciuma;20;30;31;1;2;2;1;1;0;0;0;1
Cruzeiro2013;2013;Cruzeiro;1;65;31;1;1;0;2;2;1;1;1;0
Botafogo2013;2013;Botafogo;2;53;31;1;1;1;3;1;0;0;1;0
Gremio2013;2013;Gremio;3;53;31;1;1;1;1;2;1;0;1;0
Atletico-PR2013;2013;Atletico-PR;4;52;31;0;1;2;1;2;1;0;1;0
Goias2013;2013;Goias;5;49;31;1;1;2;2;1;0;0;1;0
Vitoria2013;2013;Vitoria;6;47;31;1;0;3;1;0;2;0;1;0
Atletico-MG2013;2013;Atletico-MG;7;45;31;2;0;1;1;1;2;0;0;0
Santos2013;2013;Santos;8;44;31;2;2;0;0;2;1;0;0;0
São Paulo2013;2013;São Paulo;9;43;31;1;1;3;0;0;2;0;0;0
Internacional2013;2013;Internacional;10;42;31;1;2;1;2;1;0;0;0;0
Flamengo2013;2013;Flamengo;11;41;31;2;2;1;1;1;0;0;0;0
Corinthians2013;2013;Corinthians;12;41;31;0;1;1;2;2;1;0;0;0
Coritiba2013;2013;Coritiba;13;40;31;1;0;1;3;1;1;0;0;0
Portuguesa2013;2013;Portuguesa;14;39;31;1;1;2;1;0;2;0;0;1
Bahia2013;2013;Bahia;15;37;31;0;2;2;1;1;1;0;0;0
Fluminense2013;2013;Fluminense;16;36;31;0;0;2;3;1;1;0;0;0
ponte Preta2013;2013;ponte Preta;17;33;31;2;2;1;1;0;1;0;0;1
Vasco2013;2013;Vasco;18;33;31;1;2;2;1;1;0;0;0;1
Criciuma2013;2013;Criciuma;19;32;31;2;1;1;1;1;1;0;0;0
Nautico2013;2013;Nautico;20;17;31;0;1;1;1;2;2;0;0;1
Vasco2011;2011;Vasco;1;57;31;3;1;0;2;1;0;0;1;0
Corinthians2011;2011;Corinthians;2;55;31;0;0;1;1;3;2;1;1;0
Botafogo2011;2011;Botafogo;3;52;31;1;1;2;0;1;2;0;0;0
Flamengo2011;2011;Flamengo;4;52;31;0;1;2;3;1;0;0;1;0
Fluminense2011;2011;Fluminense;5;50;31;1;1;1;2;1;1;0;1;0
São Paulo2011;2011;São Paulo;6;49;31;0;1;1;2;2;1;0;1;0
Internacional2011;2011;Internacional;7;48;31;1;2;2;1;0;1;0;1;0
Figueirense2011;2011;Figueirense;8;47;31;2;2;1;0;1;1;0;0;0
Gremio2011;2011;Gremio;9;43;31;1;1;2;1;1;1;0;0;0
Santos2011;2011;Santos;10;42;31;1;1;2;1;1;1;0;0;0
Coritiba2011;2011;Coritiba;11;42;31;1;0;1;1;2;2;0;0;0
Atletico-GO2011;2011;Atletico-GO;12;42;31;1;0;2;2;1;1;0;0;0
Palmeiras2011;2011;Palmeiras;13;41;31;2;1;1;2;0;1;0;0;0
Bahia2011;2011;Bahia;14;36;31;1;0;1;4;1;0;0;0;0
Cruzeiro2011;2011;Cruzeiro;15;34;31;0;2;1;0;2;2;0;0;0
Atletico-MG2011;2011;Atletico-MG;16;33;31;1;1;3;1;0;1;0;0;0
Ceara2011;2011;Ceara;17;32;31;2;0;1;2;1;1;0;0;1
Atletico-PR2011;2011;Atletico-PR;18;31;31;1;1;2;1;0;2;0;0;1
Avai2011;2011;Avai;19;29;31;0;3;1;1;2;0;0;0;1
America-MG2011;2011;America-MG;20;25;31;2;2;0;2;1;0;0;0;1
Palmeiras2009;2009;Palmeiras;1;54;31;1;0;2;1;1;2;0;1;0
Atletico-MG2009;2009;Atletico-MG;2;53;31;2;1;1;1;0;2;0;0;0
Internacional2009;2009;Internacional;3;52;31;0;2;1;1;2;1;0;1;0
São Paulo2009;2009;São Paulo;4;52;31;1;0;2;2;1;1;0;1;0
Flamengo2009;2009;Flamengo;5;51;31;0;1;3;2;0;1;1;1;0
Cruzeiro2009;2009;Cruzeiro;6;48;31;0;0;1;2;3;1;0;1;0
Goias2009;2009;Goias;7;47;31;2;2;0;2;1;0;0;0;0
Gremio2009;2009;Gremio;8;44;31;2;2;2;0;0;1;0;0;0
Vitoria2009;2009;Vitoria;9;44;31;0;1;4;0;0;2;0;0;0
Avai2009;2009;Avai;10;44;31;0;0;3;2;0;2;0;1;0
Corinthians2009;2009;Corinthians;11;42;31;1;2;0;2;2;0;0;0;0
Barueri2009;2009;Barueri;12;41;31;2;1;1;2;1;0;0;0;0
Santos2009;2009;Santos;13;41;31;1;2;0;2;2;0;0;0;0
Atletico-PR2009;2009;Atletico-PR;14;39;31;1;0;2;2;1;1;0;0;0
Coritiba2009;2009;Coritiba;15;37;31;1;1;1;1;1;2;0;0;1
Santo Andre2009;2009;Santo Andre;16;32;31;0;2;2;2;1;0;0;0;1
Nautico2009;2009;Nautico;17;32;31;1;0;1;2;1;2;0;0;1
Botafogo2009;2009;Botafogo;18;32;31;2;1;0;2;2;0;0;0;0
Sport2009;2009;Sport;19;29;31;2;2;0;0;2;1;0;0;1
Fluminense2009;2009;Fluminense;20;27;31;2;1;2;0;0;2;0;0;0
Fluminense2010;2010;Fluminense;1;53;31;0;1;2;2;2;0;1;1;0
Cruzeiro2010;2010;Cruzeiro;2;53;31;0;1;3;1;0;2;0;1;0
Corinthians2010;2010;Corinthians;3;53;31;1;0;1;2;1;2;0;1;0
Santos2010;2010;Santos;4;48;31;0;1;2;0;1;3;0;0;0
Internacional2010;2010;Internacional;5;48;31;2;1;0;1;2;1;0;0;0
Botafogo2010;2010;Botafogo;6;48;31;1;0;1;2;1;2;0;1;0
Atletico-PR2010;2010;Atletico-PR;7;47;31;0;0;1;4;2;0;0;1;0
Gremio2010;2010;Gremio;8;47;31;1;2;2;0;0;2;0;1;0
São Paulo2010;2010;São Paulo;9;44;31;2;1;1;2;1;0;0;0;0
Palmeiras2010;2010;Palmeiras;10;44;31;1;1;0;2;3;0;0;0;0
Ceara2010;2010;Ceara;11;42;31;1;0;2;3;0;1;0;0;0
Vasco2010;2010;Vasco;12;42;31;0;3;2;0;1;1;0;0;0
Flamengo2010;2010;Flamengo;13;38;31;2;1;1;1;1;1;0;0;0
Atletico-GO2010;2010;Atletico-GO;14;35;31;1;1;3;0;0;2;0;0;0
Guarani2010;2010;Guarani;15;35;31;0;1;1;2;2;1;0;0;1
Atletico-MG2010;2010;Atletico-MG;16;34;31;2;0;1;2;1;1;0;0;0
Vitoria2010;2010;Vitoria;17;34;31;2;2;2;0;0;1;0;0;1
Goias2010;2010;Goias;18;31;31;2;1;1;1;0;2;0;0;1
Avai2010;2010;Avai;19;30;31;2;2;1;1;1;0;0;0;0
Prudente2010;2010;Prudente;20;24;31;2;1;1;2;1;0;0;0;1
Gremio2008;2008;Gremio;1;59;31;0;2;2;1;1;1;0;1;0
São Paulo2008;2008;São Paulo;2;56;31;0;1;2;1;1;2;1;1;0
Cruzeiro2008;2008;Cruzeiro;3;55;31;2;0;1;2;1;1;0;1;0
Flamengo2008;2008;Flamengo;4;55;31;1;2;1;1;1;1;0;1;0
Palmeiras2008;2008;Palmeiras;5;55;31;2;1;1;2;1;0;0;1;0
Botafogo2008;2008;Botafogo;6;49;31;2;1;0;2;2;0;0;0;0
Internacional2008;2008;Internacional;7;47;31;1;1;1;1;2;1;0;1;0
Coritiba2008;2008;Coritiba;8;46;31;0;1;2;1;2;1;0;0;0
Goias2008;2008;Goias;9;45;31;3;2;0;1;0;1;0;0;0
Vitoria2008;2008;Vitoria;10;44;31;3;0;1;0;0;3;0;0;0
Sport2008;2008;Sport;11;41;31;0;0;4;0;0;3;0;0;0
Santos2008;2008;Santos;12;39;31;1;0;1;3;1;1;0;0;0
Atletico-MG2008;2008;Atletico-MG;13;38;31;1;1;1;3;1;0;0;0;0
Fluminense2008;2008;Fluminense;14;34;31;0;2;0;1;3;1;0;0;0
Figueirense2008;2008;Figueirense;15;34;31;0;3;2;0;2;0;0;0;1
Nautico2008;2008;Nautico;16;32;31;1;0;1;3;1;1;0;0;0
Portuguesa2008;2008;Portuguesa;17;32;31;1;2;2;1;1;0;0;0;1
Atletico-PR2008;2008;Atletico-PR;18;31;31;1;1;2;0;0;3;0;0;0
Vasco2008;2008;Vasco;19;30;31;1;0;2;3;1;0;0;0;1
Ipatinga2008;2008;Ipatinga;20;28;31;1;1;2;2;0;1;0;0;1